stocks,fx,bonds,total
1048965.2260496821,3754191.3789837956,838643.4968681633,5641800.101901641
1741348.115607433,-2971224.8187465966,983566.6451730654,-246310.0579660982
-95815.00483954698,26559201.59438184,70607.27831318974,26533993.86785548
-27787.045627931133,10777418.301186085,344354.79625120014,11093986.051809354
-301049.9896369539,-45600531.380631596,356404.4881944284,-45545176.882074125
645343.2078161091,102461595.57944387,282300.7985621542,103389239.58582214
14309.714647931978,43366713.22547817,-177396.67513526976,43203626.26499084
1198786.7138511986,48376889.61486828,1065888.9211193323,50641565.249838814
-1151651.1876005065,6102024.59616816,-200954.49681123346,4749418.9117564205
-1023841.7152677905,-6062533.6199435,-877124.0714944527,-7963499.406705743
-16444.845075573772,-16815160.29540971,1103953.0303375795,-15727652.110147703
-373511.64975078404,-24344793.43719983,-309289.6046578735,-25027594.69160849
208132.11213748157,-36520606.904420376,69.48615112900734,-36312405.306131765
-928680.0718579479,52394947.522525966,-841473.4968932122,50624793.95377481
-667056.7100559548,60871752.609837174,846197.5972489566,61050893.497030176
-407444.1385718882,-1653076.9596239924,905626.2202960551,-1154894.8778998256
883427.1370028816,65812134.31351739,1750206.800693497,68445768.25121377
1354578.5527018644,109613035.63068819,520970.4176640734,111488584.60105413
-1369916.5131848194,1377128.9781431556,-2112474.962928906,-2105262.49797057
984859.5192467384,-25798655.7487247,-258927.62851762772,-25072723.85799559
-245905.8105308842,17918285.121414185,-1033980.8196476996,16638398.491235599
-949816.0692467354,121751384.28597564,-1470664.4411523193,119330903.77557658
-674885.2249706816,42418554.52885926,-126676.43378645182,41616992.87010212
-162576.91745026782,42681383.98764902,178176.72692034394,42696983.7971191
-528902.6928277686,41799904.94894755,315717.78003944457,41586720.036159225
-42127.1482759621,34799684.233386844,-405210.2176833898,34352346.86742749
359996.3579120282,6788160.063178301,-582747.1716245487,6565409.24946578
-196679.5424259603,6122021.895101666,-1239753.458374843,4685588.894300863
377616.5779251307,15554524.621701479,437892.35160481185,16370033.551231422
-613441.0150696132,-47664358.73188093,86924.3517543897,-48190875.395196155
-606879.6072950177,-53752258.900651366,-742298.8469680771,-55101437.354914464
1590843.5695643835,-24708772.153593957,662862.5786413476,-22455066.005388226
-1152698.6489485279,-26610685.490826666,-106906.17787462473,-27870290.31764982
-670551.2905954588,154954776.42765653,-411985.9180103317,153872239.21905074
-536318.2261454444,40061654.5484643,-869698.3339703977,38655637.988348454
-670793.9114775211,-763390.137665391,136928.41035256535,-1297255.6387903467
-107317.27952482365,45951574.22610867,151799.10725091398,45996056.05383476
77893.98759209737,38408338.45501995,-1803458.5803624392,36682773.86224961
-224591.7008090336,12387208.647695482,-1215344.2025255337,10947272.744360914
282364.5862707142,32119298.702677906,-463512.92808787525,31938150.360860743
562243.4832107499,137511044.23069894,1014864.2920669615,139088152.00597665
-270079.86655064486,19210940.674870193,-530000.792849578,18410860.01546997
60814.57268886641,-32678038.966125548,-635213.5028150529,-33252437.896251734
-332747.68436847255,-51477189.03647575,-641606.9690886438,-52451543.68993287
-458272.97183352895,-6881878.83322233,-809957.0068681687,-8150108.811924027
-583598.3060616162,91524450.74436903,245737.54823891819,91186589.98654634
320748.040566979,99115300.17049396,1659475.7322022617,101095523.9432632
341472.7911044881,-26714510.185572773,-496673.746911861,-26869711.141380146
2436449.2664181404,-13294221.6343714,-618348.7606280223,-11476121.128581282
812931.80460608,-4322362.862725973,-508681.987564832,-4018113.045684725
2162471.4136457946,-15120364.396434844,-205929.20667444915,-13163822.189463498
-224038.5057830438,-13177998.472342253,-56635.40475525707,-13458672.382880554
1384351.2851773035,-51114652.0829429,224707.92961849272,-49505592.868147105
11445.500759685412,63706875.15594131,-1369656.1032356918,62348664.5534653
-390609.27952089533,-23725015.18539855,341978.5922612697,-23773645.872658174
51743.99517898075,5006388.052537024,-1053188.0074950233,4004944.0402209815
1511574.666093085,-48519534.88621801,728934.5450885221,-46279025.67503641
-387543.70372929797,-995319.7686392665,179535.8079442382,-1203327.6644243263
715825.4084257502,18124908.672060907,84337.19115535915,18925071.271642014
514677.8886401821,74730062.16039371,1714067.2689368054,76958807.3179707
48650.904450239614,-49068647.351044595,-756567.0666496754,-49776563.51324403
-420141.1331380643,-7660088.152337134,-638975.6051524803,-8719204.890627678
-579855.1098040678,83828523.23232132,728533.911960721,83977202.03447798
730954.7114719059,-27039334.401106447,-1461224.7245820314,-27769604.41421657
1111800.5526780598,-52584247.40109694,-171151.306487374,-51643598.15490625
-492681.0470069032,-38797019.733448654,112381.66953247786,-39177319.11092308
410161.1514631137,-18834135.50340277,682445.9514166564,-17741528.400523
160738.1101026535,-40404310.41436288,-844524.0092569143,-41088096.31351714
326313.1615639087,13948768.479932189,-109371.85903476924,14165709.782461328
25779.559663230553,14559810.82195574,-741966.0705375075,13843624.311081463
2204204.121656904,40388603.878976345,2384440.04238227,44977248.04301552
501252.8742839601,4878623.791118503,-1051773.1741276905,4328103.491274772
199553.98962892964,-24304877.636592984,-283303.56675299257,-24388627.213717047
-962722.7576992027,16140035.600843221,-1676683.7377259955,13500629.105418023
404283.35223976336,24655554.61573738,-457509.33477956057,24602328.633197583
662806.5928502474,21589009.8696523,-1295215.8765970543,20956600.585905492
-1306266.3054924123,-42333588.94365993,-1336332.3953162655,-44976187.64446861
1764107.9071516097,-13306886.373080075,733094.1818950623,-10809684.284033403
377017.9530470539,73564833.3344534,698770.9222780168,74640622.20977847
1070913.5398929417,978705.2718350589,373331.77270653844,2422950.584434539
-493056.79635653645,35747112.525491476,-708901.900883384,34545153.828251556
1193836.9450968038,-390659.757004112,1369456.0995735154,2172633.287666207
-77816.59415172972,41882661.73908025,1192670.3856285214,42997515.530557044
-707857.4481947627,-19509455.98101321,-1866103.256734766,-22083416.68594274
-827958.567563653,-59300866.99859974,-357477.225627169,-60486302.79179056
-291256.0566895697,2671213.768909842,349470.76332476735,2729428.4755450394
-247306.7810980007,-35057255.548802614,-1014879.0420153216,-36319441.37191594
257412.44801299646,26695903.306940526,566587.4150335342,27519903.169987056
14205.14882036671,-50396824.37496811,-561444.1463080421,-50944063.37245578
-460225.4800490793,14383173.939107776,-391961.6908588931,13530986.768199803
-327698.1493944917,35928832.908771515,-766283.8428267911,34834850.916550234
978984.7241573576,4131932.2822983563,-559825.7010354996,4551091.305420214
-1204620.7600622308,-47306589.72520715,-629046.6076388657,-49140257.09290825
163409.29657327197,33787319.82219732,-1887926.9494995251,32062802.169271067
307276.78373171017,-9066414.086566985,-513479.9983239025,-9272617.301159177
1193520.6566880178,5674168.646293819,871421.6818595082,7739110.984841345
167186.05957720056,27558956.67767313,194068.82786995918,27920211.56512029
1318552.1292236224,15145695.848279,389580.0227697417,16853828.000272363
328497.25019467063,3306901.437849045,-516531.65978271514,3118867.0282610003
-821333.1672165375,39797103.46201727,-1306930.8411899582,37668839.45361077
226011.29056035727,140099219.8196435,-289260.1516336575,140035970.9585702
-404635.92681439035,144028.74335953593,813004.9772324935,552397.793777639
-438688.79331984743,9057601.027065277,-77094.78904044628,8541817.444704983
-1106444.19114439,-40461740.53118229,11999.74958473444,-41556184.97274195
-76246.15832506865,73941331.1685682,182872.87492536753,74047957.8851685
-1169155.024717113,13350855.587087363,83366.9099457264,12265067.472315976
-1398667.6784808245,1790150.694568634,-2763562.7698201984,-2372079.753732389
274248.2517073434,-24920150.645762473,753612.9195751026,-23892289.474480025
